address,title,alt title,first appearance month,first description,latest apperance month,latest description,permit category,permitted units,max density,parcel size,site status,identified in last 2 cycles
"715 Sleeper Ave, Mountain View, CA 94040",715 Sleeper Avenue,,2017-4,"Request for a Planned Unit Development Permit and Development Review Permit to construct 2 new single-family homes, one on a flag lot; an Heritage Tree Removal Permit for the removal of one Heritage tree on a 27,244 square foot lot. This property is located south of Sleeper Avenue between Sun Mor Avenue and Yorkshire Way in the R1-10 (Single-Family Residential) district.",2017-4,"Request for a Planned Unit Development Permit and Development Review Permit to construct 2 new single-family homes, one on a flag lot; an Heritage Tree Removal Permit for the removal of one Heritage tree on a 27,244 square foot lot. This property is located south of Sleeper Avenue between Sun Mor Avenue and Yorkshire Way in the R1-10 (Single-Family Residential) district.",Single-Family Detached Unit,1,,,,
"730 Central Ave, Mountain View, CA 94043",730 Central Avenue,,2022-2,"Request for a Conditional Use Permit for a multi-family residential use, and a Development Review Permit to construct a 4-story, 21-unit apartment building with parking at-grade and a State Density Bonus with development waivers, replacing an existing vacant auto repair shop on a 0.24-acre project site. This project is located on the north side of Central Avenue between Moffett Boulevard and Santa Rosa Avenue in the CRA (Commercial Residential- Arterial) district. Project is subject to SB 330.",2023-2,"On June 22, 2022, the Zoning Administrator approved a Conditional Use Permit for a multi-family residential use, and a Development Review Permit to construct a 4-story, 21-unit apartment building with parking at-grade and a State Density Bonus with develop ment waivers, replacing an existing vacant auto repair shop on a 0.24-acre project site. This project is located on the north side of Central Avenue between Moffett Boulevard and Santa Rosa Avenue in the CRA (Commercial Residential- Arterial) district. Project is subject to SB 330.",no permit,0,43,0.24,Pending Project,Not Used in Prior Housing Element
"747 W Dana St, Mountain View, CA 94041",747 West Dana Street,,2022-2,"On December 14, 2021, City Council approved a Planned Community Permit and Development Review Permit to construct a 3-story mixed-use building with 7,000 square feet of office and 1,600-square feet of ground-floor retail with no on-site parking, replacing a 2,300 square foot retail building, on a 0.07-acre pr oject site; and a Lot Line Adjustment to modify an existing lot line. This project is located on the south side of Dana Street between Castro Street and Hope Street in the P-19 (Downtown) Precise Plan.",2023-2,"On December 14, 2021, City Council approved a Planned Community Permit and Development Review Permit to construct a 3-story mixed-use building with 7,000 square feet of office and 1,600-APPROVED DEVELOPMENT PROJECTS square feet of ground-floor retail with no on-site parking, replacing a 2,300 square foot retail building, on a 0.07-acre project site; and a Lot Line Adjustment to modify an existing lot line. This project is located on the south side of Dana Street between Castro Street and Hope Street in the P- 19 (Downtown) Precise Plan.",no permit,0,,,,
"749 W El Camino Real, Mountain View, CA 94040",749 W est El Camino Real,,2022-8,"Request for a Planned Community Permit and Development Review Permit to construct a new mixed-use development with 299 rental units, 25,335 square feet of ground-floor retail, and two levels of underground parking with a State Density Bonus with development waivers, and a Heritage Tree Removal Permit to remove 23 Heritage trees, replacing an existing bank building and surface parking lot, on a 3.1-acre project site. This project is located on the southeast corner of West El Cami no Real and Castro Street in the P-38 (El Camino Real) Precise Plan. Project is subject to SB 330.",2023-2,"Request for a Planned Community Permit and Development Review Permit to construct a new mixed- use development with 299 rental units, 25,335 square feet of ground-floor retail, and two levels of underground parking with a State Density Bonu s with development waivers, and a Heritage Tree Removal Permit to remove 23 Heritage trees, replacing an existing bank building and surface parking lot, on a 3.1-acre project site. This project is located on the southeast corner of West El Camino Real and Castro Street in the P-38 (El Camino Real) Precise Plan. Project is subject to SB 330.",no permit,0,,,,
"750 Moffett Blvd, Mountain View, CA 94043",750 Moffett Boulevard ,,2015-4,"In April 2015 an informal review application was submitted for a General Plan Land Use Map Amendment from undesignated Caltrans property to Mixed-Use Corridor, a Zoning Map Amendment from A (Agriculture) and undesignated Caltrans property to P (Planned Community), a Planned Community Permit and Development Review Permit for a 255 room ho tel and 199,000 square foot office building on a vacant 10 acre project site. The project site is located in the southwest quadrant of Highway 101 and Moffett Boulevard. Status: Under review. Planning Area: Moffett/Whisman Planner: Stephanie Williams Applicant: Broadreach Capital Partners",2020-5,"On October 18, 2016, the City Council approved a General Plan Map Amendment from undesignated Caltrans pr operty to Mixed-Use Corridor, a Zoning Map Amendment from A (Agriculture) district and undesignated Caltrans property to P (Planned Community) district, and a Planned Community Permit and Development Review Permit for a 255 room hotel and 200,000 square foot office building on a vacant 10-acre project site. The project is located in the southwest quadrant of Highway 101 and Moffett Boulevard.",no permit,0,,,,
"756 California St, Mountain View, CA 94041",756 California Street,,2018-3,"Request for a Planned Community Permit and Development Review Permit to construct a new 7,664 square foot office building to replace a 1-story dental office building and a Provisional Use Permit to allow a ground floor medical office use at a.07-acre project site; and a determination that this project is Categorically Exempt pursuant to Section 15303 of the CEQA Guidelines (""New Construction of Small Structures). This project is located on the north side of California Street between Castro Street and Hope Street in the P-19 (Downtown) Precise Plan.",2023-2,"On February 22, 2022, Council approved a Planned Community Permit and Development Review Permit to construct a new three-story, 6,997 square-foot commercial building with ground-floor retail and office above to replace an existing single-story commercial building on a 0.07-acre project site. This project is located on the north side of California Street between Castro Street and Hope Street in the P-19 (Downtown) Precise Plan.",no permit,0,,,,
"759 W Middlefield Rd, Mountain View, CA 94043",759 West Middlefield Road,,2018-5,Request for a Development Review Permit to construct a 75-unit apartment complex and a Heritage Tree Removal Permit to remove one Heritage t ree on a 3.81 acre project site. The project is located on the west side of West Middlefield Road between North Shoreline Boulevard and Moffett Boulevard in the R3-2 (Multiple- Family Residential) district.,2022-4,"On July 24, 2019, the Zoning Administrator approved a Planned Unit Development Permit and Development Review Permit to construct a 75-unit apartment complex; a Heritage Tree Removal Permit to remove one Heritage tree on a 3.81-acre project site; and a Lot Line Adjustment to modify the project boundaries to accommodate the 75 new apartments. The project is located on the west side of West Middlefield Road betwe en North Shoreline Boulevard and Moffett Boulevard in the R3-2 (Multiple-Family Residential) district.",5 or More Units Per Structure,75,,,,
"773 Cuesta Dr, Mountain View, CA 94040",773 Cuesta Avenue,,2022-2,"On May 25, 2021, City Council approved a Planned Unit Development and Development Review Permit to construct a four-unit, flag lot single-family residential development, replacing one single-family home, a Heritage Tree Removal Permit to remove 11 and relocate 2 Heritage trees, and a Tentative Map to subdivide one lot into four residential lots and one common lot on a 0.70-acre project site. The project is located on the south side of Cuesta Drive between Miramonte Avenue and Begen Avenue in the R1 (Single-Family Residential) district. Project is subject to SB 330.",2023-2,"On May 25, 2021, City Council approved a Planned Unit Development and Development Review Permit to construct a four-unit, flag lot single-family residential development, replacing one single- family home, a Heritage Tree Removal Permit to remove 11 and relo cate 2 Heritage trees, and a Tentative Map to subdivide one lot into four residential lots and one common lot on a 0.70-acre project site. The project is located on the south side of Cuesta Drive between Miramonte Avenue and Begen Avenue in the R1 (Single-Family Residential) district. Project is subject to SB 330.",Single-Family Detached Unit,0,,,,
"777 W Middlefield Rd, Mountain View, CA 94043",777 West Middlefield Road,,2016-10,"Informal request for a General Plan Amendment from Medium-Density Residential to High- Density Residential, a Zoning Map Amendment from R3-2 (Multiple-Family Residential) to P (Planned Community) district to allow demolition of 208 existing apartment units and construction of 711 new apartment units (including 144 affordable units). The project site is located on the west side of Middlefield Road between Shoreline Boulevard and Moffett Boulevard in the R3-2 district.",2023-2,"On May 21, 2019, City Council approved a General Plan Amendment from Medium-Density Residential to High-Density Residential; a Zoning Map Amendment from R3-2 (Multiple-Family Residential) to P (Planned Community) district; a Planned Community Permit and Development Review Permit to construct 716 new apartment units (including 144 affordable units), replacing 208 existing apartment units; a Heritage Tree Removal Permit to remove 127 Heritage trees; and a Preliminary Parcel Map to create two parcels on a 9.84-acre proje ct site. The project is located on the west side of West Middlefield Road between North Shoreline Boulevard and Moffett Boulevard in the R3-2 (Multiple-Family Residential) district.",5 or More Units Per Structure,0,,,,
"779 E Evelyn Ave, Mountain View, CA 94041",779 E. Evelyn Avenue,Evelyn Family Apartments ,2015-4,"Request for a General Plan Map Amendment to alter the land use designation from General Industrial to H igh-Density Residential, a Zoning Map Amendment to rezone the property from P(30) Sylvan-Dale Precise Plan to R4 (High-Density Residential) zoning district, and a Development Review Permit to construct a 4- story, 116-unit apartment building for low- and ve ry-low income households with an on-site manager unit and one-level of underground parking to replace an existing two-story office building and a one-story commercial building. Status/Next Step(s): Under Review. Planning Area: Central Neighborhoods. Project Planner: Lindsay Hagan Applicant: ROEM",2019-8,"On March 1, 2016, the City Council approved a General Plan Map Amendment from General Industria l to High-Density Residential, a Zoning Map Amendmen t from P-30 (Sylvan-Dale) Precise Plan to R4 (High-Density Residential) district, a Development Review Permit to construct a 4-story, 116-unit apartment building for low- and very-low income households, and a Heritage Tree Removal Permi t to remove 10 Heritage trees. The project is located on the southwest corner of East Evelyn Avenue and South Bernardo Avenue in the P-30 (Sylvan-Dale) Precise Plan.",5 or More Units Per Structure,116,,,,
"790 E El Camino Real, Mountain View, CA 94040",790 E El Camino Real,Loop Convenience Store ,2016-2,"Request for a Planned Community Permit to reconstruct the existing gas station and car wash and to add a new 2,940 sf convenience store, and a Heritage Tree Removal Permit to remove up to 5 Heritage Trees.",2017-6,"Planned Community Permit and Provisional Use Permit to construct a new car wash, a new 2,938 square foot convenience store, and 8 fueling stalls to replace an existing 12-stall gas station, car wash and convenience market, and a Heritage Tree Removal Permit to remove 5 Heritage trees on a 0.6-acre project site. The project is located on the northwest corner of East El Camino Real and Sylvan Avenue in the P- 38 (El Camino Real) Precise Plan.",no permit,0,,,,
"800 Maude Ave, Mountain View, CA 94043",690 East Mid dlefield Road,Kilroy Realty ,2013-7,"In April 2008, Council approved a 340,000 square feet office building (0.5 FAR) for Dostart Development. Kilroy Realty purchased the property and began construction August 2012 and c ompletion of the building shell is expected by fall 2013. (Moffett/Whisman Planning Area) ",2013-7,"In April 2008, Council approved a 340,000 square feet office building (0.5 FAR) for Dostart Development. Kilroy Realty purchased the property and began construction August 2012 and c ompletion of the building shell is expected by fall 2013. (Moffett/Whisman Planning Area) ",no permit,0,,,,
"801 W El Camino Real, Mountain View, CA 94040",801 El Camino Real West,Greystar ,2013-5,"In April 2013, Council authorized a Gatekeeper request by Greystar for a mixed use, high-density apartment proposal. The project includes a request to sell the adjacent City parking lot to the developer. EPC and Council study sessions are scheduled for fall 2013. ",2018-11,"On December 9, 2014 the City Council approved a Zoning Map Amendment from the CRA (Commercial/Residential-Arterial) district to the P (Planned Community) district, a Planned Community Permit to construct a new mixed-use project with 164 apartment units and 10,800 square feet of commercial space on a 2.3 9 acre project site. The project is located on the southwest corner of West El Camino Real and Castro Street in the P-38 (El Camino Real) Precise Plan.",5 or More Units Per Structure,33,,,,
"810 Miramonte Ave, Mountain View, CA 94040",810 Miramonte Avenue,,2019-6,"Informal Review to construct a new 36-room ho tel with underground parking replacing an existing 1,107 square foot auto shop on a 0.32-acre site. This project is located on the southwest corner of West El Camino Real and Miramonte Avenue in the P-38 (El Camino Real) Precise Plan. Approved Development Projects",2019-10,"Request for Informal Review of a Planned Community Permit and Development Review Permit to construct a new 4-story, 36-room hotel with one-level of underground parking, replacing an existing 1,107 square foot auto shop, on a 0.32-acre site. This project is located on the southwest c orner of West El Camino Real and Miramonte Avenue in the P-38 (El Camino Real) Precise Plan.",no permit,0,65-111,0.32,Available,Not Used in Prior Housing Element
"819 N Rengstorff Ave, Mountain View, CA 94043",819 North Rengstorff Avenue,ROEM/Eden ,2013-5,"In February 2013, Council approv ed 48 affordable rental efficien cy studios, 1 one- bedroom manager unit and 1,600 square feet of retail space. ROEM and Eden Housing submitted the nine-percent tax credit application on March 6, 2013. If the project receives tax credits in the first round, relocation assistance will be gin in June 2013 and building permit submittal in July 2013. ",2015-5,"In February 2013, the City Council approved a three story, mixed-use development with 48 affordable rental efficiency studios, one 1-bedroom manager unit, and 1,600 square feet of commercial development and removal of three Heritage trees on a 0.83-acre project site, replacing 12 residential units and 8,500 square feet of commercial/retail space. Status/Next Step (s): Approved. Temporary occupancy was granted in April 2015 and final completion will be in May 2015. Planning Area: Monta Loma/Farley/Rock Project Planner: Melinda Denis Applicant: ROEM Corporation & Eden Housing",no permit,0,,,,
"827 N Rengstorff Ave, Mountain View, CA 94043",827 North Rengstorff Avenue,D.R. Horton  ,2013-5,"In April 2013, Council authorized a Gatekeeper request by City Ventures to study a rezoning of 1.4 acres of industrial land to allow a mixed- use retail and condominium project. Formal review will start in September 2013. ",2016-10,"In April 2013, the City Council authorized a Gatekeeper request by City Ventures to study a rezoning of 1.4 acres of industrial land to allow a mixed-use retail and condominium project. After further consideration, City Ventures proposed a lower- density rowhouse project. In June 2014, the City Council approved a General Plan Land Use Map Amendment from Limited Industrial to Medium Density Residential (13 to 25 units per acre), a Zoning Map Amendment from ML (Limited Industrial) to R3-2 (Multiple Family Residential), a P lanned Unit Development Permit and Development Review Permit for a new 24-unit rowhouse development, a Heritage Tree Removal Permit for seven trees, and a Tentative Map for 24 rowhouses on a 1.4 acre site located at the south east corner of North Rengstorf f Avenue and Colony Street. The project includes demolition of an existing one-story industrial building. D.R. Horton has purchased the site from City Ventures.",5 or More Units Per Structure,1,,,,
"828 Sierra Vista Ave, Mountain View, CA 94043","D & C Development (828 and 836 Sierra Vista Avenue, 1975 and 1979 Colony",,2018-3,"Street) Request for a Planned Unit Development and Development Review P ermit to construct a new 20-unit rowhouse development, including a 20% state density bonus, to replace three existing single family homes and one duplex on four parcels on a 0.99-acre project site; and a determination that the project is categorically exem pt pursuant to 15332 of the CEQA Guidelines (“In-Fill Development Projects""). This project is located on the west side of Sierra Vista Avenue between Colony Street and Old Middlefield Way in the R3-2 (Multiple-Family Residential) district.",2023-2,"On November 10, 2020, the Zoning Administrator and Subdivision Committee jointly approved a request for a one-year extension to a previously approved Planned Unit Development and Development Review Permit for 20 rowhomes with a State Density Bonus with development waivers, APPROVED DEVELOPMENT PROJECTS to replace three existing single-family homes and one duplex, on a 0.99-acre project site; and a Tentative Map to create 20 residential lots and one common lot. The project is located on the west side of Sierra Vista Avenue between Colony Street and Old Middlefield Way in the R3-2 (Multiple- Family Residential) district.",no permit,0,,,,
"830 Leong Dr, Mountain View, CA 94043",830 Leong Dr.,Linde Hydrogen Fueling Station ,2016-2,"Request for a Provisional Use Permit to construct new hydrogen fueling station tank, enclosure and site improvements at an existing gas station, and a Heritage Tree Removal Permit to remove 5 Heritage Trees.",2018-1,"On May 25, 2016 the Zoning Administrator approved a Provisional Use Permit to construct a hydrogen fueling station. The project is located on the northeast corner of Moffett Boulevard and Leong Drive in the P-32 (Evandale) Precise Plan.",no permit,0,,,,
"840 E El Camino Real, Mountain View, CA 94040",840 East El Camino Real,,2017-2,"Request for a Planned Community Permit to allow an 18,748 square-foot, four-story wing addition, including 40 new guest rooms and 4,122 square feet of ground floor commercial space to an existing four-story, 160-room hotel, a Provisional Use Permit for roo f top amenities above the third floor, and a Heritage Tree Removal Permit to remove three Heritage trees, on an existing 2.3 acre site.",2020-5,"On November 13, 2019, the Zoning Administrator approved a one-year Permit Extension for a Provisional Use Permit for a parking reduction and rooftop amenities above the third floor; a Planned Community Permit and Development Review Permit to allow a four-story, 18,366 square-foot addition to an existing four-story, 160-room hotel, including 38 new guest rooms and 4,024 square feet of ground floor commercial space; and a Heritage Tree Removal Permit to remove seven Heritage trees, including four street trees. The project is located on the north side of East El Camino Real between Sylvan Ave and the City limits in the P-38 (El Camino Real) Precise Plan.",no permit,0,,,,
"853 Sierra Vista Ave, Mountain View, CA 94043",851-852 Sierra Vista Avenue,,2019-6,"Request for General Plan an d Zoning Map Amendments, a Planned Community Permit, a Heritage Tree Removal permit, and a Tentative Parcel Map to develop nine new rowhomes to replace three existing single-family homes and an industrial building on a 0.56-acre site. The project also includes the removal of 13 Heri tage trees and subdivision of the parcel into 9 lots with a common lot. This project is loca ted on the northeast corner of Colony Street and Sierra Vista Avenue in the Rd-2sd/MM-40 (Multiple-Family Special Design/General Industrial) districts.",2023-2,"On January 28, 2020, City Council approved a General Plan Map Amendment from General Industrial to Medium-Density Residential; a Zoning Map Amendment from R3-2sd (Multiple-Family Residential Special Design) and MM (General Industrial) districts to the R3 (Multiple-Family Residential) district; a Planned Unit Development Permit to construct nine rowhouses to replace three existing single- family homes and an industri al building; a Heritage Tree Removal Permit to remove 6 Heritage trees; and a Tentative Parcel Map to create nine individual lots and one common lot on a 0.56-acre project site. This project is located on the northeast corner of Colony Street and Sierra Vi sta Avenue in the Rd-2sd/MM-40 (Multiple-Family Special Design/General Industrial) districts.",Single-Family Attached Unit,0,,,,
"855 W El Camino Real, Mountain View, CA 94040",855-1023 West El Camino Real,,2019-8,"Request for a Provisional Use Permit to construct a Senior Care facility, a Planned Community Permit and Development Review Permit to construct a new 3-story, 38,272 square foot, 60-bed senior memory care facility with ground floor retail/restaurant uses, and a Heritage Tree Removal Permit to remove 9 Heritage trees, re placing an existing restaurant on a 0.83-acre site. This project is located on the south side of West El Camino Real between Miramonte Avenue and Castro Street in the P-38 (El Camino Real) Precise Plan.",2023-2,"On August 12, 2020, the Zoning Administrator approved a Provisional Use Permit to allow a senior care facility use; a Planned Community Permit and Development Review Permit to allow a mixed-use 3-story, 60-bed senior memory care facility with 5,883 square feet of ground floor retail and restaurant uses and a parking reduction to provide 42 spaces, in lieu of 59 required spaces, replacing an existing restaurant and retail store; a Heritage Tree Removal Permit to remove 9 Heritage trees; and a Preliminary Par cel Map to combine six lots into one lot on a 0.85-acre site. This project is located on the south side of West El Camino Real between Miramonte Avenue and Castro Street in the P-38 (El Camino Real) Precise Plan. Project is subject to SB 330.",no permit,0,,,,
"858 Sierra Vista Ave, Mountain View, CA 94043",858 Sierra Vista Ave.,,2013-8,"In July 2013, Paul Ryan applied for permits to construct a 4-unit small-lot single- family development on 0.52 acres. A final Council hearing is anticipated in 2014. (Noah Downing) Moffett/Whisman Planning Area",2020-5,"On November 12, 2014, the City Council approved a request for a Planned Unit Development Permit, Developme nt Review Permit, and Heritage Tree Removal Permit to construct four small-lot, single-family homes to replace an existing single-family home, on a 0.52-acre project site. The project is located on the west side of Sierra Vista Avenue between Colony Street and Plymouth Street in the R3-2 (Multiple-Family Residential) district.",Single-Family Detached Unit,3,,,,
"86 W El Camino Real, Mountain View, CA 94040",86 El Camino Real,Wonder Years Preschool ,2015-1,"In November 2014, Wonder Years Preschool submitted an informal application to build a new 2-story, 4,400-square-foot preschool building on a site adjacent to their current property. The project would replace an existing 1-story building that currently houses a car-stereo business. Status/Next Step(s): Informal review. Planning Area: Central Neighborhoods Project Planner: Eric Anderson",2019-6,"On October 14, 2015, the Zoning Administrator approved a Planned Community Permit and a Development Review Permit for a new 2- story, 4,800 square-foot preschool building to replace an existing one-story building (a c ar-stereo business), adjacent to their current preschool site. The project is located on the north side of West El Camino Real between Bay Street and Calderon Avenue in th e P-38 (El Camino Real) Precise Plan.",no permit,0,,,,
"860 Bay St, Mountain View, CA 94041",860 Bay Street,,2022-2,"Request for a Planned Unit Development Permit, Planned Community Permit, and Development Review Pe rmit to construct five townhome s and a Heritage Tree Removal permit to remove one Heritage tree on a vacant 0.25-acre project site; and a Tentative Map to create five condominium lots and one common lot. This project is located on the west side of Bay Street between El Camino Real and Centre Street in the P-38 (El Camino Real) Precise Plan. Project is subject to SB 330.",2022-4,"Request for a Planned Unit Development Permit, Planned Community Permit, and Development Review Pe rmit to construct five townhome s and a Heritage Tree Removal permit to remove one Heritage tree on a vacant 0.25-acre project site; and a Tentative Map to create five condominium lots and one common lot. This project is located on the west side of Bay Street between El Camino Real and Centre Street in the P-38 (El Camino Real) Precise Plan. Project is subject to SB 330.",no permit,0,,,,
"864 Hope St, Mountain View, CA 94041",864 Hope Street,,2018-1,"Request for a Planned Community Permit, Development Review Permit and Tentative Map for three residential units to replace one single-family home on a 0.25 acre project site. The project is located on the west side of Hope Street between Yosemite Avenue and Fairmont Avenue in the P-19 (Downtown) Precise Plan. PLANNING PROJECTS OUTSIDE OF CHANGE AREAS AND DOWNTOWN/ EVELYN CORRIDOR Monta Loma/Farley/Rock Planning Area",2019-10,"On November 14, 2018, the Zoning Administrator approved a Planned Community Permit, Development Review Permit and Tentative Map for three re sidential units to replace one single-family home on a 0.25-acre project site. The project is located on the west side of Hope Street between Yosemite Avenue and Fairmont Avenue in the P-19 (Downtown) Precise Plan.",Single-Family Detached Unit,0,,,,
"865 E El Camino Real, Mountain View, CA 94040",865 El Camino Real East,Lennar  Apartments  ,2013-5,"In April 2013, Council approved a 150-unit apartment project for SummerHill Apartments. Building permit submittal is expected in June 2013. (Grant/Sylvan Planning Area) ",2015-11,"In April 2013, the City Council approved a Planned Community Permit for a four- story, 150-unit residential development with underground parking and a Heritage Tree Removal Permit for 15 trees on a 2.3-acre site for SummerHill Apartment Communities. The pr oject includes demolition of an existing billiard hall, grocery store, and restaurant. Lennar Multifamily Communities has purchased the site from SummerHill. is expected to be completed in November 2015.",no permit,0,,,,
"870 E El Camino Real, Mountain View, CA 94040",870 El Camino Real East,,2013-5,"In October 2011, Council authorized a Gatekeeper request by Archstone to study a 180 unit apartment complex with 333 apartment units and 6,000 square foot of commercial space. Archstone is being acquired by Equity Residential. The project is on hold. ",2023-2,"On September 27, 2022, the City Council approved a Planned Community Permit and Development Review Permit to construct two, 6-story buildings with 233 new apartment units and one level of underground parking with a State Density Bonus with development waivers, and associated site and façade improvements to existing apartment buildings to remain, replacing three apartment buildings with 42 existing units, resulting in a total of 371 apartment units on-site; a Provisional Use Permit to allow rooftop amenities above the third floor and for a parking reduction; and a Heritage Tree Removal Permit to remove seven Heritage trees on a 9.15-acre site. This project is located on the north side of East El Camino Real between Sylvan Avenue and South Bernardo Avenue in the P-38 (El Camino Real) Precise Plan. Project is subject to SB 330.",no permit,0,25,9.29,Pending Project,Used in Prior Housing Element - Non-Vacant
"870 Leong Dr, Mountain View, CA 94043",870 Leong  Drive,,2013-5,"In January 2011, Bob Desai applied for permits to replace the vacant Denny’s building with a three-story, 63 room hotel. There have been long periods of no activity from the applicant on the project. A formal submittal for a three-story, 76 room hotel is now expected by summer 2013. The site is known to have contaminated groundwater. The Precise Plan allows final action on this application by the Zoning Administrator. (Noah Downing) San Antonio Planning Area",2020-5,"On April 12, 2020, the Zoning Administrator approved a one-year permit extension of a previously approved Provisional Use Permit for a parking reduction for 70 parking spaces, in lieu of the required 75 spaces; Planned Community Permit and Dev elopment Review Permit to allow construction of a new 74-room hotel to replace an existing commercial building; and a Heritage Tree Removal Permit to remove 4 Heritage trees (002-11-PCZA) on a 1.15-acre project site. The project is located on the west side of Leong Drive between Moffett Boulevard and Fairchild Drive in the P-32 (Evandale) Precise Plan. Projects Under Construction",no permit,0,,,,
"871 W Evelyn Ave, Mountain View, CA 94041",871 West Evelyn Avenue,Minkoff Group ,2013-5,"In November 2009, Council approved a 65,000 square foot, four-story office building. The building will be completed by June 2013 and tenant improvements completed by December 2013. (Central Neighborhoods Planning Area) (Rebecca Shapiro) PLANNING PROJECTS OUTSIDE OF CHANGE AREAS AND DOWNTOWN / EVELYN CORRIDOR Monta Loma/Farley/Rock Planning Area",2013-10,"In November 2009, Council approved a 65,000 square foot, four-story office building. Construction began in April 2012, and t he building should be completed in October 2013. (Central Neighborhoods Planning Area) (Rebecca Shapiro) PLANNING PROJECTS OUTSIDE OF CHANGE AREAS AND DOWNTOWN / EVELYN CORRIDOR Monta Loma/Farley/Rock Planning Area",no permit,0,,,,
"881 Castro St, Mountain View, CA 94041",881 Castro Street,,2015-6,"Request for a Provisional Use Permit and Planned Community Permit to construct a 4-story, mixed-use building with 9,400 sq. ft. of ground-floor commercial space and 14 condominium units with three levels of underground parking and a Tentative Map to merge three lots into one lot with condominium lots to replace three existing commercial buildings on a 0.29-acre project site. The project site is located on the northeast corner of Castro Street and Fairmont Avenue in the P-19 (Downtown) Precise Plan. Status & Next Step s: Under Review. Planning Area: Downtown Project Planner: Lindsay Hagan Applicant: Castro GPRV 10, LLC PLANNING PROJECTS OUTSIDE OF CHANGE AREAS AND DOWNTOWN/ EVELYN CORRIDOR Monta Loma/Farley/Rock Planning Area",2020-5,"Request for a Provisional Use Permit to allow an upper floor residential use; a Planned Community Permit and Development Review Permit for a four-story, mixed-use building with 20 condominium units and 4 townhomes, 6,3 00 square feet of ground-floor commercial space, and two level s of underground parking to replace three existing single-story commercial buildi ngs and a 4-unit residential apartment complex on a 0.4-acre project site; and a Tentative Map to create 24 condominium lots and one common lot. The project site is located on the northwest corner of Castro Street and Fairmont Avenue in the P-19 (Downtown) Precise Plan.",no permit,0,,,,
"901 N Rengstorff Ave, Mountain View, CA 94043",901-987 N. Rengstorff Avenue,,2020-3,"Request for a General Plan Map Amendment from General Industrial and Medium-Density Residential to High-Density Residential; a Zoning Map Amendment from the MM-40 (General Industri al) and R3-2sd (Multiple-Family Residential-Special Design) Districts to the R4 (High-Density Residential) District; a Development Review Permit and Historic Preservation Permit to construct 91 apartment units with at-grade parking adjacent to existing str uctures of historic significance, one existing residential unit, and duplex unit to remain; a Heritage Tree Removal permit to remove 21 Heritage trees; and a Lot Line Adjustment to remove a lot line between two lots resulting in one parcel for a 1.57-acre project site. This project is located on the east side of North Rengstorff Avenue, between Plymouth Street and Leghorn Street in the MM-40 (General Industrial) District and R3-2sd (Multiple-Family Residential-Special Design) District. Approved Development Projects",2020-5,"Request for a General Plan Map Amendment from General Industrial and Medium-Density Residential to High-Density Residential; a Zoning Map Amendment from the MM-40 (General Industrial) and R3-2sd (Multiple-Family Residential-Special Design) Districts to the R4 (High-Density Residential) District; a Development Review Permit and Historic Preservation Permit to construct 91 apartment units with at-grade parking adjacent to existing structures of historic significance, one existing residential unit, and duplex unit to remain; a Heritage Tree Removal permit to remove 21 Heritage trees; and a Lot Line Adjustment to remove a lot line between two lots resulting in one parcel for a 1.57-acre project site. This project is located on the east side of North Rengstorff Avenue, between Plymouth Street and Leghorn Street in the MM-40 (General Industrial) District and R3-2sd (Multiple-Family Residential-Special Design) District.",no permit,0,,,,
"902 Villa St, Mountain View, CA 94041",902 Villa Street,Roger Burnell ,2013-5,"In July 2012, the Council approved a new 4- story 21,745 square foot office building. Construction started in May 2013. ",2014-6,"In July 2012, the City Council approved a Planned Community Permit and Development Review Permit to construct a four-story 21,745 sq. ft. office building, a Heritage Tree Removal Permit to remove one tree, the removal of the Pearson House from the Historic Register and the demolition of the Pearson House and accessory buildings on a 11,250 sq. ft. site located on the northwest corner of Vill a Street and Bryant Street. Status/Next Step (s): Approved. The project is currently under construction and is expected to be completed by July 2014. Planning Area: Central Neighborhoods Project Planner: Scott Plambaeck",no permit,0,,,,
"908 N Rengstorff Ave, Mountain View, CA 94043",908 N. Rengstorff Ave.,Windsor A cademy ,2013-9,"In August 2013, formal plans for a new childcare center were submitted. A final Administrative Zoning hearing is anticipated by the end of 2013. (Lindsay Hagan) Moffett/Whisman Planning Area",2017-6,"In October 2014, the Zoning Administrator approved a Conditional Use Permit and Development Revi ew Permit for a new 2-story, 8,088-square-foot, 84 child daycare center and a Heritage Tree removal permit to remove two Heritage t rees on a 0.43 acre project site. The project includes the demolition of one single-family home, resulting in 7, 318 net new square feet of development on the site.",no permit,0,,,,
